33.9771392,72.9120768,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
33.9771392,72.9120768,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
33.9771392,72.9120768,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
33.9771392,72.9120768,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
33.9771392,72.9120768,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
34.0525056,73.1119616,"unnamed road, Havelian Cantonment, Pakistan"
34.0525056,73.1119616,"unnamed road, Havelian Cantonment, Pakistan"
34.0525056,73.1119616,"unnamed road, Havelian Cantonment, Pakistan"
34.0525056,73.1119616,"unnamed road, Havelian Cantonment, Pakistan"
34.0525056,73.1119616,"unnamed road, Havelian Cantonment, Pakistan"
34.0525056,73.1119616,"unnamed road, Havelian Cantonment, Pakistan"
34.0525056,73.1119616,"unnamed road, Havelian Cantonment, Pakistan"
33.9794971,72.9091704,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
33.9794971,72.9091704,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
33.9794812,72.9091564,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
33.9794812,72.9091564,"unnamed road, Noor Colony, Haripur 22620, Pakistan"
